"id","resource","action","description","category","created_at","updated_at"
"cmlk5m04t00004gwattlgly6i","teams","approve","Approve team registrations","Teams","2026-02-13 00:33:07.019","2026-02-13 00:33:07.019"
"cmlk5m21700014gwa65b503c1","teams","bulk_delete","Bulk delete teams","Teams","2026-02-13 00:33:09.322","2026-02-13 00:33:09.322"
"cmlk5m38m00024gwauu43qykh","teams","bulk_approve","Bulk approve teams","Teams","2026-02-13 00:33:11.256","2026-02-13 00:33:11.256"
"cmlk5m3u600034gwap3lprc5e","teams","manage_staff","Manage team staff","Teams","2026-02-13 00:33:11.958","2026-02-13 00:33:11.958"
"cmlk5m5le00044gwau0liwsy5","players","approve","Approve player registrations","Players","2026-02-13 00:33:14.350","2026-02-13 00:33:14.350"
"cmlk5m69f00054gwav3hboyyw","players","bulk_delete","Bulk delete players","Players","2026-02-13 00:33:15.100","2026-02-13 00:33:15.100"
"cmlk5m6zm00064gwajey6eifn","players","bulk_approve","Bulk approve players","Players","2026-02-13 00:33:16.036","2026-02-13 00:33:16.036"
"cmlk5m7qf00074gwa7fsgtbf5","players","view_stats","View player statistics","Players","2026-02-13 00:33:17.012","2026-02-13 00:33:17.012"
"cmlk5m8ud00084gwar4xr2ulb","matches","track","Track live game events","Matches","2026-02-13 00:33:18.214","2026-02-13 00:33:18.214"
"cmlk5mdsu00094gwa1c3atmvu","matches","manage_events","Manage match events","Matches","2026-02-13 00:33:24.788","2026-02-13 00:33:24.788"
"cmlk5meve000a4gwa6c9gl5s1","matches","manage_players","Manage match players","Matches","2026-02-13 00:33:26.323","2026-02-13 00:33:26.323"
"cmlk5mhdn000b4gwakqc1jcqb","matches","bulk_delete","Bulk delete matches","Matches","2026-02-13 00:33:28.670","2026-02-13 00:33:28.670"
"cmlk5mikt000c4gwa4twt8yfa","matches","view_reports","View match reports","Matches","2026-02-13 00:33:31.164","2026-02-13 00:33:31.164"
"cmlk5mkms000d4gwa2bm9khdc","media","view_private","View private media","Media","2026-02-13 00:33:33.678","2026-02-13 00:33:33.678"
"cmlk5mlm1000e4gwak46t2r58","media","batch_upload","Batch upload media","Media","2026-02-13 00:33:34.766","2026-02-13 00:33:34.766"
"cmlk5mmjd000f4gwafy8osjss","media","batch_move","Batch move media","Media","2026-02-13 00:33:36.131","2026-02-13 00:33:36.131"
"cmlk5mnsz000g4gwaq5nhpxru","media","export","Export media as ZIP","Media","2026-02-13 00:33:37.582","2026-02-13 00:33:37.582"
"cmlk5mpdw000h4gwahk66vtul","media","cleanup","Run cleanup operations","Media","2026-02-13 00:33:39.460","2026-02-13 00:33:39.460"
"cmlk5mrqc000i4gwav215auct","news_articles","publish","Publish/unpublish articles","News","2026-02-13 00:33:42.570","2026-02-13 00:33:42.570"
"cmlk5mtmw000j4gway0yuh8pu","news_articles","bulk_delete","Bulk delete articles","News","2026-02-13 00:33:45.169","2026-02-13 00:33:45.169"
"cmlk5mutw000k4gwam8vzkm7y","users","manage_roles","Assign roles to users","Users","2026-02-13 00:33:47.052","2026-02-13 00:33:47.052"
"cmlk5mvu4000l4gwa3b8km7zj","roles","manage_permissions","Assign permissions to roles","Roles & Permissions","2026-02-13 00:33:48.337","2026-02-13 00:33:48.337"
"cmlk5mwkd000m4gwa77r1yf0e","staff","bulk_delete","Bulk delete staff","Staff","2026-02-13 00:33:49.298","2026-02-13 00:33:49.298"
"cmlk5my82000n4gwalbjpsa6k","reports","generate","Generate reports","Reports","2026-02-13 00:33:51.002","2026-02-13 00:33:51.002"
"cmlk5n0cl000o4gwa4fsc5q37","reports","download","Download reports","Reports","2026-02-13 00:33:53.837","2026-02-13 00:33:53.837"
"cmlk5n1kr000p4gwaytg30l4q","reports","email","Email reports","Reports","2026-02-13 00:33:55.508","2026-02-13 00:33:55.508"
"cmlk5n2qx000q4gwazuxbkhau","site_settings","manage","Full settings management","Settings","2026-02-13 00:33:57.309","2026-02-13 00:33:57.309"
"cmlk5n3lo000r4gwa9z2ng98z","registration_notifications","manage","Manage notifications","Notifications","2026-02-13 00:33:58.382","2026-02-13 00:33:58.382"
"cmlk7zxbu0000hgwamrr3953l","users","create","Create new users","Users","2026-02-13 01:39:56.076","2026-02-13 01:39:56.076"
"cmlk7zxn60001hgwauyntme5d","users","read","View users","Users","2026-02-13 01:39:56.485","2026-02-13 01:39:56.485"
"cmlk7zxym0002hgwaoj6r4fdp","users","update","Edit user details","Users","2026-02-13 01:39:56.895","2026-02-13 01:39:56.895"
"cmlk7zy9q0003hgwaer9kabhs","users","delete","Delete users","Users","2026-02-13 01:39:57.287","2026-02-13 01:39:57.287"
"cmlk7zywj0004hgwaaogwnxrh","roles","create","Create new roles","Roles & Permissions","2026-02-13 01:39:58.035","2026-02-13 01:39:58.035"
"cmlk7zzdh0005hgwadkx5v7sw","roles","read","View roles","Roles & Permissions","2026-02-13 01:39:58.618","2026-02-13 01:39:58.618"
"cmlk7zzvl0006hgwavwghig81","roles","update","Edit roles","Roles & Permissions","2026-02-13 01:39:59.275","2026-02-13 01:39:59.275"
"cmlk800c50007hgwakeor6dxe","roles","delete","Delete roles","Roles & Permissions","2026-02-13 01:39:59.895","2026-02-13 01:39:59.895"
"cmlk800xq0008hgwao533ojnq","permissions","read","View permissions","Roles & Permissions","2026-02-13 01:40:00.658","2026-02-13 01:40:00.658"
"cmlk801f10009hgwa5jeqgmoa","permissions","manage","Manage permissions","Roles & Permissions","2026-02-13 01:40:01.296","2026-02-13 01:40:01.296"
"cmlk801x1000ahgwa7faxe8p9","teams","create","Create teams","Teams","2026-02-13 01:40:01.943","2026-02-13 01:40:01.943"
"cmlk802dm000bhgwabnj8bxgr","teams","read","View teams","Teams","2026-02-13 01:40:02.534","2026-02-13 01:40:02.534"
"cmlk802uq000chgwazasr4b1g","teams","update","Edit teams","Teams","2026-02-13 01:40:03.127","2026-02-13 01:40:03.127"
"cmlk803c2000dhgway4fp8epw","teams","delete","Delete teams","Teams","2026-02-13 01:40:03.763","2026-02-13 01:40:03.763"
"cmlk804c2000ehgwatbatfz4r","players","create","Create players","Players","2026-02-13 01:40:05.067","2026-02-13 01:40:05.067"
"cmlk804ta000fhgwabb6ow9nf","players","read","View players","Players","2026-02-13 01:40:05.659","2026-02-13 01:40:05.659"
"cmlk805b6000ghgwas9oel35v","players","update","Edit players","Players","2026-02-13 01:40:06.314","2026-02-13 01:40:06.314"
"cmlk805rt000hhgwa27pu342o","players","delete","Delete players","Players","2026-02-13 01:40:06.938","2026-02-13 01:40:06.938"
"cmlk806sy000ihgwavjwmtw2c","matches","create","Create matches","Matches","2026-02-13 01:40:08.231","2026-02-13 01:40:08.231"
